event_id,event_type,subject_person_id,object_person_id,location_id,timestamp,confidence,source_record_id,trigger_word,phones,accounts,vehicles
EVT_DIG000001,communication,P00577,P00940,LOC0093,2026-05-13 11:54:00,0.99,DIG000001,called,,,
EVT_DIG000002,meeting,P00151,P00985,LOC0178,2026-04-05 11:39:00,0.99,DIG000002,मिला,,,
EVT_DIG000003,communication,P00659,P00287,LOC0110,2026-05-18 05:51:00,0.99,DIG000003,தொடர்பு கொண்டார்,,,
EVT_DIG000004,meeting,P00255,P00925,LOC0156,2026-02-25 11:01:00,0.99,DIG000004,visited,,,
EVT_DIG000005,movement,P00030,P00610,LOC0037,2026-01-01 18:18:00,0.99,DIG000005,స్థానం పంచుకున్నారు,,,
EVT_DIG000006,movement,P00233,P00323,LOC0052,2026-03-04 13:30:00,0.99,DIG000006,স্থান ভাগ করেছে,,,
EVT_DIG000007,communication,P00977,P00434,LOC0048,2026-07-19 17:32:00,0.99,DIG000007,సందేశం పంపారు,,,
EVT_DIG000008,communication,P00811,P00637,LOC0051,2026-08-30 11:56:00,0.99,DIG000008,رابطہ کیا,,,
EVT_DIG000009,movement,P00963,P00054,LOC0085,2026-06-23 23:51:00,0.99,DIG000009,స్థానం పంచుకున్నారు,,,
EVT_DIG000010,communication,P00099,P00538,LOC0034,2026-01-07 00:15:00,0.99,DIG000010,സന്ദേശം അയച്ചു,,,
EVT_DIG000011,meeting,P00042,P00435,LOC0109,2026-04-02 19:57:00,0.99,DIG000011,দেখা করেছে,,,
EVT_DIG000012,communication,P00968,P00731,LOC0033,2026-03-18 12:21:00,0.99,DIG000012,ਸੰਪਰਕ ਕੀਤਾ,,,
EVT_DIG000013,communication,P00863,P00653,LOC0082,2026-08-24 13:51:00,0.99,DIG000013,സന്ദേശം അയച്ചു,,,
EVT_DIG000014,communication,P00538,P00930,LOC0134,2026-07-30 00:21:00,0.99,DIG000014,contacted,,,
EVT_DIG000015,communication,P00119,P00740,LOC0124,2026-02-02 03:05:00,0.99,DIG000015,فون کیا,,,
EVT_DIG000016,communication,P00292,P00751,LOC0162,2026-08-30 21:16:00,0.99,DIG000016,ಕರೆ ಮಾಡಿದರು,,,
EVT_DIG000017,communication,P00701,P00781,LOC0046,2026-01-16 21:45:00,0.99,DIG000017,sent a message to,,,
EVT_DIG000018,communication,P00761,P00189,LOC0094,2026-03-26 03:09:00,0.99,DIG000018,called,,,
EVT_DIG000019,transfer,P00367,P00285,LOC0072,2026-04-01 06:41:00,0.99,DIG000019,പണം അയച്ചു,,,
EVT_DIG000020,meeting,P00770,P00594,LOC0028,2026-04-19 17:41:00,0.99,DIG000020,visited,,,
EVT_DIG000021,movement,P00509,P00892,LOC0073,2026-01-05 15:24:00,0.99,DIG000021,స్థానం పంచుకున్నారు,,,
EVT_DIG000022,communication,P00755,P00247,LOC0118,2026-03-31 07:19:00,0.99,DIG000022,വിളിച്ചു,,,
EVT_DIG000023,communication,P00018,P00403,LOC0056,2026-01-01 23:14:00,0.99,DIG000023,அழைத்தார்,,,
EVT_DIG000024,meeting,P00048,P00511,LOC0145,2026-05-06 09:34:00,0.99,DIG000024,ಭೇಟಿಯಾದರು,,,
EVT_DIG000025,meeting,P00893,P00133,LOC0028,2026-01-16 12:06:00,0.99,DIG000025,পরিদর্শন করেছে,,,
EVT_DIG000026,communication,P00379,P00762,LOC0076,2026-05-27 15:58:00,0.99,DIG000026,સંદેશ મોકલ્યો,,,
EVT_DIG000027,communication,P00679,P00216,LOC0004,2026-08-04 01:57:00,0.99,DIG000027,સંદેશ મોકલ્યો,,,
EVT_DIG000028,movement,P00951,P00415,LOC0150,2026-08-24 20:25:00,0.99,DIG000028,સ્થાન શેર કર્યું,,,
EVT_DIG000029,transfer,P00922,P00429,LOC0175,2026-07-23 23:04:00,0.99,DIG000029,പണം അയച്ചു,,,
