head,relation,tail,timestamp,confidence,source_id,event_type
P00577,COMMUNICATED_WITH,P00940,2026-05-13 11:54:00,0.99,DIG000001,communication
P00577,PRESENT_AT,LOC0093,2026-05-13 11:54:00,0.99,DIG000001,communication
P00940,PRESENT_AT,LOC0093,2026-05-13 11:54:00,0.99,DIG000001,communication
P00151,MET_WITH,P00985,2026-04-05 11:39:00,0.99,DIG000002,meeting
P00151,PRESENT_AT,LOC0178,2026-04-05 11:39:00,0.99,DIG000002,meeting
P00985,PRESENT_AT,LOC0178,2026-04-05 11:39:00,0.99,DIG000002,meeting
P00659,COMMUNICATED_WITH,P00287,2026-05-18 05:51:00,0.99,DIG000003,communication
P00659,PRESENT_AT,LOC0110,2026-05-18 05:51:00,0.99,DIG000003,communication
P00287,PRESENT_AT,LOC0110,2026-05-18 05:51:00,0.99,DIG000003,communication
P00255,MET_WITH,P00925,2026-02-25 11:01:00,0.99,DIG000004,meeting
P00255,PRESENT_AT,LOC0156,2026-02-25 11:01:00,0.99,DIG000004,meeting
P00925,PRESENT_AT,LOC0156,2026-02-25 11:01:00,0.99,DIG000004,meeting
P00030,MOVED_WITH,P00610,2026-01-01 18:18:00,0.99,DIG000005,movement
P00030,PRESENT_AT,LOC0037,2026-01-01 18:18:00,0.99,DIG000005,movement
P00610,PRESENT_AT,LOC0037,2026-01-01 18:18:00,0.99,DIG000005,movement
P00233,MOVED_WITH,P00323,2026-03-04 13:30:00,0.99,DIG000006,movement
P00233,PRESENT_AT,LOC0052,2026-03-04 13:30:00,0.99,DIG000006,movement
P00323,PRESENT_AT,LOC0052,2026-03-04 13:30:00,0.99,DIG000006,movement
P00977,COMMUNICATED_WITH,P00434,2026-07-19 17:32:00,0.99,DIG000007,communication
P00977,PRESENT_AT,LOC0048,2026-07-19 17:32:00,0.99,DIG000007,communication
P00434,PRESENT_AT,LOC0048,2026-07-19 17:32:00,0.99,DIG000007,communication
