head,relation,tail,timestamp,confidence,source_id
P00001,USES_PHONE,PH00473,,1.0,phones.csv
P00001,OWNS_ACCOUNT,ACC00672,,1.0,accounts.csv
P00001,PRESENT_AT,LOC0111,2026-01-12 01:06:00,0.88,GEO001352
P00001,PRESENT_AT,LOC0130,2026-07-11 00:36:00,0.97,GEO001784
P00001,PRESENT_AT,LOC0106,2026-01-13 05:27:00,0.98,GEO003930
P00001,PRESENT_AT,LOC0052,2026-07-03 08:34:00,0.86,GEO004336
P00001,PRESENT_AT,LOC0052,2026-06-27 07:29:00,0.99,DIG002717
P00001,PRESENT_AT,LOC0129,2026-05-03 20:38:00,0.81,GEO005051
P00001,PRESENT_AT,LOC0062,2026-01-06 00:03:00,0.91,GEO005735
P00001,PRESENT_AT,LOC0134,2026-08-11 23:38:00,0.99,DIG000431
P00001,PRESENT_AT,LOC0001,2026-04-18 01:17:00,0.99,DIG000870
P00001,MET_WITH,P00157,2026-01-02 11:43:00,0.99,DIG000978
P00001,PRESENT_AT,LOC0167,2026-01-02 11:43:00,0.99,DIG000978
P00001,PRESENT_AT,LOC0022,2026-01-24 09:11:00,0.99,DIG001852
P00001,PRESENT_AT,LOC0055,2026-05-06 08:27:00,0.99,DIG002379
P00001,PRESENT_AT,LOC0076,2026-02-22 04:36:00,0.99,DIG002755
P00001,PRESENT_AT,LOC0056,2026-03-31 11:00:00,0.99,DIG004148
P00001,COMMUNICATED_WITH,P00993,2026-05-11 16:37:00,0.99,DIG005503
P00001,PRESENT_AT,LOC0143,2026-05-11 16:37:00,0.99,DIG005503
P00002,USES_PHONE,PH00041,,1.0,phones.csv
P00002,OWNS_ACCOUNT,ACC01185,,1.0,accounts.csv
P00002,OWNS_VEHICLE,VEH00313,,1.0,vehicles.csv
P00002,PRESENT_AT,LOC0110,2026-02-18 01:25:00,0.9,GEO000561
P00002,PRESENT_AT,LOC0122,2026-07-11 07:19:00,0.67,GEO003174
P00002,PRESENT_AT,LOC0036,2026-07-26 06:34:00,0.75,GEO003705
P00002,PRESENT_AT,LOC0038,2026-01-30 12:04:00,0.83,GEO003835
P00002,PRESENT_AT,LOC0021,2026-01-06 10:20:00,0.73,GEO004126
P00002,PRESENT_AT,LOC0098,2026-07-09 14:57:00,0.98,GEO004607
P00002,PRESENT_AT,LOC0111,2026-05-03 06:38:00,0.79,GEO004746
P00002,PRESENT_AT,LOC0023,2026-02-23 07:00:00,0.77,GEO004751
P00002,COMMUNICATED_WITH,P00708,2026-01-29 14:22:00,0.99,DIG000484
P00002,PRESENT_AT,LOC0085,2026-01-29 14:22:00,0.99,DIG000484
P00002,MET_WITH,P00556,2026-02-04 17:58:00,0.99,DIG002263
P00002,PRESENT_AT,LOC0177,2026-02-04 17:58:00,0.99,DIG002263
P00002,PRESENT_AT,LOC0070,2026-01-08 15:54:00,0.99,DIG002938
P00002,PRESENT_AT,LOC0174,2026-02-24 12:51:00,0.99,DIG002943
P00002,PRESENT_AT,LOC0174,2026-01-21 05:58:00,0.99,RPT00757
P00002,MOVED_WITH,P00306,2026-06-19 01:42:00,0.99,DIG003792
P00002,PRESENT_AT,LOC0104,2026-06-19 01:42:00,0.99,DIG003792
P00002,PRESENT_AT,LOC0050,2026-02-21 07:02:00,0.99,DIG003966
P00002,PRESENT_AT,LOC0094,2026-07-29 14:17:00,0.99,DIG004408
P00002,PRESENT_AT,LOC0178,2026-02-26 15:35:00,0.99,DIG004482
P00002,PRESENT_AT,LOC0156,2026-01-23 23:06:00,0.99,DIG004609
P00002,PRESENT_AT,LOC0042,2026-05-25 02:47:00,0.99,DIG004650
P00002,MOVED_WITH,P00340,2026-06-21 05:46:00,0.99,DIG005087
P00002,PRESENT_AT,LOC0125,2026-06-21 05:46:00,0.99,DIG005087
P00002,PRESENT_AT,LOC0043,2026-03-10 13:33:00,0.99,DIG005289
P00002,PRESENT_AT,LOC0086,2026-03-20 04:03:00,0.99,RPT00540
P00003,USES_PHONE,PH00014,,1.0,phones.csv
P00003,USES_PHONE,PH00014,2026-08-22 18:11:00,0.99,RPT00470
P00003,USES_PHONE,PH00014,2026-03-12 03:55:00,0.99,RPT00795
P00003,OWNS_ACCOUNT,ACC00441,,1.0,accounts.csv
P00003,OWNS_ACCOUNT,ACC00914,,1.0,accounts.csv
P00003,OWNS_ACCOUNT,ACC00914,2026-08-22 18:11:00,0.99,RPT00470
P00003,OWNS_ACCOUNT,ACC00914,2026-03-12 03:55:00,0.99,RPT00795
P00003,PRESENT_AT,LOC0008,2026-08-08 09:32:00,0.8,GEO000750
P00003,PRESENT_AT,LOC0058,2026-05-28 15:06:00,0.65,GEO001227
P00003,PRESENT_AT,LOC0169,2026-06-12 03:45:00,0.7,GEO004217
P00003,PRESENT_AT,LOC0101,2026-01-26 08:41:00,0.75,GEO005667
P00003,PRESENT_AT,LOC0063,2026-01-12 13:51:00,0.84,GEO005889
P00003,PRESENT_AT,LOC0054,2026-02-19 07:57:00,0.99,DIG001536
P00003,TRANSFERRED_TO,P00442,2026-03-20 07:35:00,0.99,DIG001926
P00003,PRESENT_AT,LOC0091,2026-03-20 07:35:00,0.99,DIG001926
P00003,PRESENT_AT,LOC0091,2026-05-07 16:47:00,0.99,DIG004447
P00003,COMMUNICATED_WITH,P00360,2026-08-07 11:45:00,0.99,DIG002411
P00003,PRESENT_AT,LOC0149,2026-08-07 11:45:00,0.99,DIG002411
P00003,PRESENT_AT,LOC0065,2026-06-18 20:54:00,0.99,DIG003957
P00003,COMMUNICATED_WITH,P00110,2026-05-07 16:47:00,0.99,DIG004447
P00003,PRESENT_AT,LOC0157,2026-03-10 02:05:00,0.99,DIG004720
P00003,COMMUNICATED_WITH,P00955,2026-03-29 11:29:00,0.99,DIG005097
P00003,PRESENT_AT,LOC0166,2026-03-29 11:29:00,0.99,DIG005097
P00003,MENTIONED_WITH,P00087,2026-08-22 18:11:00,0.99,RPT00470
P00003,PRESENT_AT,LOC0151,2026-08-22 18:11:00,0.99,RPT00470
P00003,OWNS_VEHICLE,VEH00171,2026-08-22 18:11:00,0.99,RPT00470
P00003,MENTIONED_WITH,P00151,2026-03-12 03:55:00,0.99,RPT00795
P00003,PRESENT_AT,LOC0100,2026-03-12 03:55:00,0.99,RPT00795
P00003,OWNS_VEHICLE,VEH00010,2026-03-12 03:55:00,0.99,RPT00795
P00004,USES_PHONE,PH00204,,1.0,phones.csv
P00004,OWNS_ACCOUNT,ACC00620,,1.0,accounts.csv
P00004,PRESENT_AT,LOC0089,2026-06-13 14:30:00,0.69,GEO000767
P00004,PRESENT_AT,LOC0175,2026-03-26 08:52:00,0.77,GEO001862
P00004,PRESENT_AT,LOC0056,2026-05-03 07:35:00,0.73,GEO002725
P00004,PRESENT_AT,LOC0152,2026-08-05 06:03:00,0.78,GEO005424
