document_id,entity_id,entity_type,surface_form
RPT00001,P00561,PERSON,PERSON_00561
RPT00001,P00975,PERSON,PERSON_00975
RPT00001,PH01018,PHONE,PH01018
RPT00001,ACC00481,ACCOUNT,ACC00481
RPT00001,VEH00359,VEHICLE,VEH00359
RPT00001,LOC0123,LOCATION,Zone_0123
RPT00002,P00621,PERSON,PERSON_00621
RPT00002,P00601,PERSON,PERSON_00601
RPT00002,PH01064,PHONE,PH01064
RPT00002,ACC00213,ACCOUNT,ACC00213
RPT00002,VEH00136,VEHICLE,VEH00136
RPT00002,LOC0085,LOCATION,Zone_0085
RPT00003,P00259,PERSON,PERSON_00259
RPT00003,P00924,PERSON,PERSON_00924
RPT00003,PH00039,PHONE,PH00039
RPT00003,ACC00926,ACCOUNT,ACC00926
RPT00003,VEH00178,VEHICLE,VEH00178
RPT00003,LOC0027,LOCATION,Zone_0027
RPT00004,P00283,PERSON,PERSON_00283
RPT00004,P00146,PERSON,PERSON_00146
RPT00004,PH01072,PHONE,PH01072
RPT00004,ACC00243,ACCOUNT,ACC00243
RPT00004,VEH00376,VEHICLE,VEH00376
RPT00004,LOC0079,LOCATION,Zone_0079
RPT00005,P00663,PERSON,PERSON_00663
RPT00005,P00699,PERSON,PERSON_00699
RPT00005,PH01024,PHONE,PH01024
RPT00005,ACC00636,ACCOUNT,ACC00636
RPT00005,VEH00171,VEHICLE,VEH00171
RPT00005,LOC0029,LOCATION,Zone_0029
RPT00006,P00501,PERSON,PERSON_00501
RPT00006,P00341,PERSON,PERSON_00341
RPT00006,PH00984,PHONE,PH00984
RPT00006,ACC01136,ACCOUNT,ACC01136
RPT00006,VEH00163,VEHICLE,VEH00163
RPT00006,LOC0050,LOCATION,Zone_0050
RPT00007,P00098,PERSON,PERSON_00098
RPT00007,P00901,PERSON,PERSON_00901
RPT00007,PH00754,PHONE,PH00754
RPT00007,ACC00292,ACCOUNT,ACC00292
RPT00007,VEH00170,VEHICLE,VEH00170
RPT00007,LOC0145,LOCATION,Zone_0145
RPT00008,P00666,PERSON,PERSON_00666
RPT00008,P00813,PERSON,PERSON_00813
RPT00008,PH01139,PHONE,PH01139
RPT00008,ACC00429,ACCOUNT,ACC00429
RPT00008,VEH00135,VEHICLE,VEH00135
RPT00008,LOC0087,LOCATION,Zone_0087
RPT00009,P00783,PERSON,PERSON_00783
RPT00009,P00997,PERSON,PERSON_00997
RPT00009,PH00283,PHONE,PH00283
RPT00009,ACC01048,ACCOUNT,ACC01048
RPT00009,VEH00400,VEHICLE,VEH00400
RPT00009,LOC0009,LOCATION,Zone_0009
RPT00010,P00588,PERSON,PERSON_00588
RPT00010,P00409,PERSON,PERSON_00409
RPT00010,PH00595,PHONE,PH00595
RPT00010,ACC00233,ACCOUNT,ACC00233
RPT00010,VEH00021,VEHICLE,VEH00021
RPT00010,LOC0169,LOCATION,Zone_0169
RPT00011,P00833,PERSON,PERSON_00833
RPT00011,P00191,PERSON,PERSON_00191
RPT00011,PH00084,PHONE,PH00084
RPT00011,ACC00518,ACCOUNT,ACC00518
RPT00011,VEH00134,VEHICLE,VEH00134
RPT00011,LOC0092,LOCATION,Zone_0092
RPT00012,P00439,PERSON,PERSON_00439
RPT00012,P00503,PERSON,PERSON_00503
RPT00012,PH00956,PHONE,PH00956
RPT00012,ACC00741,ACCOUNT,ACC00741
RPT00012,VEH00160,VEHICLE,VEH00160
RPT00012,LOC0090,LOCATION,Zone_0090
RPT00013,P00942,PERSON,PERSON_00942
RPT00013,P00551,PERSON,PERSON_00551
RPT00013,PH00487,PHONE,PH00487
RPT00013,ACC01134,ACCOUNT,ACC01134
RPT00013,VEH00313,VEHICLE,VEH00313
RPT00013,LOC0050,LOCATION,Zone_0050
RPT00014,P00411,PERSON,PERSON_00411
RPT00014,P00229,PERSON,PERSON_00229
RPT00014,PH01121,PHONE,PH01121
RPT00014,ACC00225,ACCOUNT,ACC00225
RPT00014,VEH00364,VEHICLE,VEH00364
RPT00014,LOC0166,LOCATION,Zone_0166
RPT00015,P00515,PERSON,PERSON_00515
RPT00015,P00784,PERSON,PERSON_00784
RPT00015,PH01177,PHONE,PH01177
RPT00015,ACC00868,ACCOUNT,ACC00868
RPT00015,VEH00212,VEHICLE,VEH00212
RPT00015,LOC0172,LOCATION,Zone_0172
RPT00016,P00936,PERSON,PERSON_00936
RPT00016,P00723,PERSON,PERSON_00723
RPT00016,PH00230,PHONE,PH00230
RPT00016,ACC00190,ACCOUNT,ACC00190
RPT00016,VEH00228,VEHICLE,VEH00228
RPT00016,LOC0065,LOCATION,Zone_0065
RPT00017,P00788,PERSON,PERSON_00788
RPT00017,P00230,PERSON,PERSON_00230
RPT00017,PH00676,PHONE,PH00676
RPT00017,ACC01043,ACCOUNT,ACC01043
RPT00017,VEH00290,VEHICLE,VEH00290
RPT00017,LOC0104,LOCATION,Zone_0104
RPT00018,P00401,PERSON,PERSON_00401
RPT00018,P00496,PERSON,PERSON_00496
RPT00018,PH00385,PHONE,PH00385
RPT00018,ACC00347,ACCOUNT,ACC00347
RPT00018,VEH00153,VEHICLE,VEH00153
RPT00018,LOC0110,LOCATION,Zone_0110
RPT00019,P00672,PERSON,PERSON_00672
RPT00019,P00685,PERSON,PERSON_00685
RPT00019,PH00350,PHONE,PH00350
RPT00019,ACC01081,ACCOUNT,ACC01081
RPT00019,VEH00320,VEHICLE,VEH00320
RPT00019,LOC0132,LOCATION,Zone_0132
RPT00020,P00200,PERSON,PERSON_00200
RPT00020,P00247,PERSON,PERSON_00247
RPT00020,PH00113,PHONE,PH00113
RPT00020,ACC00345,ACCOUNT,ACC00345
RPT00020,VEH00344,VEHICLE,VEH00344
RPT00020,LOC0158,LOCATION,Zone_0158
RPT00021,P00139,PERSON,PERSON_00139
RPT00021,P00545,PERSON,PERSON_00545
RPT00021,PH00477,PHONE,PH00477
RPT00021,ACC01090,ACCOUNT,ACC01090
