account_id,owner_person_id,account_type,institution
ACC00001,P00528,current,BANK_C
ACC00002,P00230,wallet,BANK_A
ACC00003,P00663,wallet,BANK_C
ACC00004,P00032,current,BANK_D
ACC00005,P00656,wallet,BANK_D
ACC00006,P00742,current,BANK_C
ACC00007,P00211,wallet,BANK_C
ACC00008,P00789,current,BANK_D
ACC00009,P00457,savings,BANK_A
ACC00010,P00758,wallet,BANK_C
ACC00011,P00323,wallet,BANK_B
ACC00012,P00899,wallet,BANK_B
ACC00013,P00857,wallet,BANK_B
ACC00014,P00206,wallet,BANK_D
ACC00015,P00342,wallet,BANK_A
ACC00016,P00198,current,BANK_C
ACC00017,P00482,savings,BANK_C
ACC00018,P00518,current,BANK_C
ACC00019,P00055,current,BANK_C
ACC00020,P00559,savings,BANK_A
ACC00021,P00325,wallet,BANK_A
ACC00022,P00320,wallet,BANK_A
ACC00023,P00319,savings,BANK_A
ACC00024,P00920,savings,BANK_A
ACC00025,P00821,wallet,BANK_C
ACC00026,P00129,wallet,BANK_C
ACC00027,P00208,wallet,BANK_A
ACC00028,P00713,wallet,BANK_B
ACC00029,P00105,savings,BANK_D
ACC00030,P00212,wallet,BANK_B
ACC00031,P00863,wallet,BANK_B
ACC00032,P00100,savings,BANK_D
ACC00033,P00579,current,BANK_D
ACC00034,P00918,savings,BANK_C
ACC00035,P00932,wallet,BANK_C
ACC00036,P00718,current,BANK_D
ACC00037,P00152,wallet,BANK_B
ACC00038,P00293,wallet,BANK_A
ACC00039,P00241,current,BANK_D
ACC00040,P00738,wallet,BANK_C
ACC00041,P00685,savings,BANK_D
ACC00042,P00875,current,BANK_C
ACC00043,P00125,savings,BANK_B
ACC00044,P00740,savings,BANK_B
ACC00045,P00678,current,BANK_C
ACC00046,P00237,savings,BANK_D
ACC00047,P00238,current,BANK_A
ACC00048,P00149,savings,BANK_A
ACC00049,P00536,wallet,BANK_C
ACC00050,P00708,wallet,BANK_D
ACC00051,P00389,wallet,BANK_A
ACC00052,P00331,current,BANK_B
ACC00053,P00379,current,BANK_C
ACC00054,P00435,savings,BANK_B
ACC00055,P00154,current,BANK_B
ACC00056,P00185,current,BANK_B
ACC00057,P00589,current,BANK_C
ACC00058,P00179,current,BANK_D
ACC00059,P00599,current,BANK_D
ACC00060,P00166,wallet,BANK_D
ACC00061,P00750,current,BANK_C
ACC00062,P00694,savings,BANK_C
ACC00063,P00083,savings,BANK_B
ACC00064,P00432,wallet,BANK_D
ACC00065,P00091,wallet,BANK_D
ACC00066,P00989,savings,BANK_A
ACC00067,P00022,wallet,BANK_B
ACC00068,P00755,savings,BANK_A
ACC00069,P00383,current,BANK_D
ACC00070,P00923,wallet,BANK_D
ACC00071,P00067,current,BANK_A
ACC00072,P00850,wallet,BANK_C
ACC00073,P00729,wallet,BANK_D
ACC00074,P00914,wallet,BANK_C
