cdr_id,from_phone_id,to_phone_id,timestamp,duration_sec,channel,location_id
CDR000001,PH01188,PH00673,2026-01-08 09:54:00,1717,call,LOC0042
CDR000002,PH00789,PH00058,2026-08-22 10:23:00,2021,sms,LOC0038
CDR000003,PH00697,PH00377,2026-03-25 11:47:00,61,call,LOC0088
CDR000004,PH00699,PH00595,2026-02-06 04:06:00,1749,call,LOC0031
CDR000005,PH00849,PH01075,2026-08-23 19:48:00,1695,sms,LOC0109
CDR000006,PH00967,PH00872,2026-06-30 08:33:00,1427,call,LOC0164
CDR000007,PH00129,PH00380,2026-06-26 02:37:00,1042,app_message,LOC0001
CDR000008,PH00336,PH00785,2026-07-16 13:04:00,565,call,LOC0173
CDR000009,PH01085,PH00414,2026-08-07 21:05:00,998,call,LOC0056
CDR000010,PH00717,PH00922,2026-05-15 13:27:00,612,app_message,LOC0029
CDR000011,PH00576,PH01130,2026-07-21 17:45:00,126,app_message,LOC0078
CDR000012,PH01001,PH00127,2026-02-26 16:46:00,1655,app_message,LOC0136
CDR000013,PH01114,PH00840,2026-02-27 22:15:00,543,call,LOC0042
CDR000014,PH00013,PH00839,2026-08-03 05:51:00,1583,sms,LOC0140
CDR000015,PH00150,PH00671,2026-05-15 08:56:00,92,call,LOC0096
CDR000016,PH01179,PH00976,2026-02-01 22:43:00,798,call,LOC0029
CDR000017,PH01015,PH01003,2026-03-04 19:49:00,586,app_message,LOC0033
CDR000018,PH00701,PH01158,2026-08-18 11:11:00,1635,app_message,LOC0151
CDR000019,PH01004,PH00416,2026-06-26 08:55:00,1156,app_message,LOC0058
CDR000020,PH00799,PH01078,2026-05-11 20:53:00,72,app_message,LOC0070
CDR000021,PH00499,PH00748,2026-08-08 11:05:00,2275,sms,LOC0066
CDR000022,PH00109,PH00447,2026-03-21 03:25:00,360,sms,LOC0002
CDR000023,PH00493,PH00294,2026-01-25 21:25:00,797,call,LOC0020
CDR000024,PH01020,PH00974,2026-02-19 07:36:00,751,app_message,LOC0091
CDR000025,PH00661,PH00915,2026-04-03 22:26:00,2140,call,LOC0020
CDR000026,PH00669,PH01054,2026-04-02 04:27:00,1281,app_message,LOC0158
CDR000027,PH00391,PH00546,2026-02-07 19:23:00,2242,call,LOC0058
CDR000028,PH00987,PH00357,2026-07-03 09:02:00,1781,call,LOC0124
CDR000029,PH01041,PH00170,2026-08-03 04:46:00,801,app_message,LOC0160
CDR000030,PH00632,PH00077,2026-06-15 16:44:00,125,app_message,LOC0106
CDR000031,PH01077,PH01197,2026-01-22 05:52:00,1283,app_message,LOC0103
CDR000032,PH00157,PH00826,2026-06-14 11:11:00,698,sms,LOC0146
CDR000033,PH00495,PH00427,2026-01-28 19:21:00,1172,app_message,LOC0026
CDR000034,PH00694,PH01111,2026-04-03 21:33:00,961,app_message,LOC0158
CDR000035,PH00723,PH00672,2026-05-29 03:56:00,1285,app_message,LOC0100
CDR000036,PH01128,PH01063,2026-07-16 11:06:00,1582,call,LOC0107
CDR000037,PH00469,PH00542,2026-07-14 12:03:00,1397,sms,LOC0020
CDR000038,PH00260,PH00342,2026-07-26 17:36:00,1791,sms,LOC0094
CDR000039,PH00833,PH01013,2026-04-23 03:33:00,1484,app_message,LOC0084
CDR000040,PH00378,PH00812,2026-05-05 18:26:00,1778,sms,LOC0171
CDR000041,PH00832,PH01012,2026-08-28 10:56:00,1704,sms,LOC0129
CDR000042,PH01176,PH00468,2026-04-02 00:48:00,45,sms,LOC0053
CDR000043,PH00952,PH00105,2026-04-15 10:57:00,1074,sms,LOC0065
CDR000044,PH00904,PH00689,2026-03-22 14:10:00,1054,sms,LOC0082
CDR000045,PH00428,PH00596,2026-05-08 13:48:00,267,call,LOC0125
CDR000046,PH00396,PH00696,2026-06-06 07:41:00,1240,call,LOC0129
CDR000047,PH00972,PH00047,2026-06-09 22:04:00,897,app_message,LOC0169
CDR000048,PH00327,PH00247,2026-05-11 17:08:00,423,app_message,LOC0041
CDR000049,PH00529,PH00767,2026-08-29 11:34:00,378,call,LOC0084
CDR000050,PH00377,PH00653,2026-01-19 20:34:00,1313,app_message,LOC0175
CDR000051,PH01159,PH01027,2026-06-12 12:22:00,433,sms,LOC0102
CDR000052,PH00196,PH00664,2026-07-06 05:34:00,289,call,LOC0160
CDR000053,PH00053,PH00777,2026-05-18 05:28:00,1790,app_message,LOC0015
CDR000054,PH00260,PH00377,2026-05-19 20:19:00,1551,sms,LOC0151
CDR000055,PH00204,PH01139,2026-04-24 19:15:00,489,app_message,LOC0103
CDR000056,PH00141,PH00471,2026-03-29 09:50:00,1882,app_message,LOC0061
CDR000057,PH00274,PH00155,2026-05-27 02:39:00,2130,call,LOC0127
CDR000058,PH00243,PH00751,2026-01-07 02:04:00,939,call,LOC0101
CDR000059,PH01179,PH01141,2026-01-31 22:14:00,1154,sms,LOC0110
CDR000060,PH01170,PH00582,2026-08-09 16:15:00,447,sms,LOC0011
CDR000061,PH00751,PH01175,2026-08-03 07:14:00,539,call,LOC0099
