device_id,device_type,device_token,primary_phone_id
DEV00001,Laptop,DEVICE_00001,PH01018
DEV00002,iOS,DEVICE_00002,PH00488
DEV00003,Android,DEVICE_00003,PH00639
DEV00004,Tablet,DEVICE_00004,PH00256
DEV00005,iOS,DEVICE_00005,PH00946
DEV00006,Tablet,DEVICE_00006,PH00147
DEV00007,Tablet,DEVICE_00007,PH01157
DEV00008,Tablet,DEVICE_00008,PH01095
DEV00009,Android,DEVICE_00009,PH00241
DEV00010,Laptop,DEVICE_00010,PH00497
DEV00011,Tablet,DEVICE_00011,PH00637
DEV00012,iOS,DEVICE_00012,PH00707
DEV00013,Laptop,DEVICE_00013,PH00627
DEV00014,Tablet,DEVICE_00014,PH00175
DEV00015,Tablet,DEVICE_00015,PH00914
DEV00016,Laptop,DEVICE_00016,PH00551
DEV00017,Tablet,DEVICE_00017,PH00507
DEV00018,iOS,DEVICE_00018,PH00542
DEV00019,Tablet,DEVICE_00019,PH00049
DEV00020,Laptop,DEVICE_00020,PH00497
DEV00021,Laptop,DEVICE_00021,PH00516
DEV00022,iOS,DEVICE_00022,PH00399
DEV00023,iOS,DEVICE_00023,PH00586
DEV00024,Tablet,DEVICE_00024,PH00703
DEV00025,Laptop,DEVICE_00025,PH01057
DEV00026,Laptop,DEVICE_00026,PH00559
DEV00027,iOS,DEVICE_00027,PH01077
DEV00028,Laptop,DEVICE_00028,PH00972
DEV00029,iOS,DEVICE_00029,PH00928
DEV00030,Tablet,DEVICE_00030,PH00750
DEV00031,Android,DEVICE_00031,PH00191
DEV00032,iOS,DEVICE_00032,PH00881
DEV00033,Laptop,DEVICE_00033,PH00682
DEV00034,Tablet,DEVICE_00034,PH00525
DEV00035,Android,DEVICE_00035,PH00077
DEV00036,iOS,DEVICE_00036,PH00104
DEV00037,Laptop,DEVICE_00037,PH01191
DEV00038,Tablet,DEVICE_00038,PH00639
DEV00039,iOS,DEVICE_00039,PH00524
DEV00040,Tablet,DEVICE_00040,PH01059
DEV00041,Tablet,DEVICE_00041,PH00908
DEV00042,Tablet,DEVICE_00042,PH00090
DEV00043,iOS,DEVICE_00043,PH00847
DEV00044,Tablet,DEVICE_00044,PH00167
DEV00045,Laptop,DEVICE_00045,PH00746
DEV00046,Android,DEVICE_00046,PH01115
DEV00047,Tablet,DEVICE_00047,PH01190
DEV00048,Laptop,DEVICE_00048,PH00326
DEV00049,Tablet,DEVICE_00049,PH00420
