geo_event_id,person_id,location_id,timestamp,event_type,source_confidence
GEO000001,P00877,LOC0140,2026-06-29 08:35:00,entered,0.81
GEO000002,P00952,LOC0027,2026-01-22 06:04:00,entered,0.77
GEO000003,P00897,LOC0107,2026-05-13 06:36:00,exited,0.75
GEO000004,P00525,LOC0158,2026-07-24 14:14:00,stayed,0.75
GEO000005,P00746,LOC0160,2026-02-15 01:32:00,stayed,0.75
GEO000006,P00609,LOC0053,2026-02-03 11:30:00,exited,0.94
GEO000007,P00209,LOC0120,2026-08-09 00:04:00,seen,0.99
GEO000008,P00732,LOC0156,2026-08-31 15:48:00,stayed,0.8
GEO000009,P00997,LOC0047,2026-03-05 11:05:00,exited,0.76
GEO000010,P00730,LOC0128,2026-03-03 21:50:00,seen,0.66
GEO000011,P00909,LOC0136,2026-01-19 03:36:00,seen,0.95
GEO000012,P00788,LOC0079,2026-05-28 08:54:00,seen,0.83
GEO000013,P00280,LOC0153,2026-07-08 13:55:00,stayed,0.85
GEO000014,P00803,LOC0030,2026-06-06 11:44:00,stayed,0.93
GEO000015,P00745,LOC0024,2026-07-04 02:01:00,entered,0.98
GEO000016,P00787,LOC0066,2026-04-02 07:55:00,seen,0.66
GEO000017,P00954,LOC0134,2026-04-14 17:28:00,exited,0.93
GEO000018,P00346,LOC0059,2026-05-19 17:41:00,seen,0.86
GEO000019,P00259,LOC0049,2026-04-14 07:01:00,exited,0.72
GEO000020,P00583,LOC0136,2026-06-03 10:22:00,stayed,0.96
GEO000021,P00292,LOC0162,2026-07-06 16:01:00,entered,0.66
GEO000022,P00264,LOC0129,2026-01-22 00:42:00,seen,0.89
GEO000023,P00994,LOC0018,2026-07-08 05:35:00,seen,0.68
GEO000024,P00322,LOC0132,2026-02-28 02:08:00,exited,0.98
GEO000025,P00433,LOC0158,2026-04-02 05:07:00,stayed,0.91
GEO000026,P00656,LOC0028,2026-06-17 14:31:00,stayed,0.85
GEO000027,P00254,LOC0019,2026-03-26 19:26:00,stayed,0.7
GEO000028,P00300,LOC0043,2026-08-17 22:36:00,entered,0.96
GEO000029,P00557,LOC0164,2026-02-05 16:44:00,exited,0.8
GEO000030,P00969,LOC0102,2026-06-01 23:09:00,seen,0.95
GEO000031,P00460,LOC0081,2026-05-24 07:55:00,exited,0.83
GEO000032,P00078,LOC0159,2026-07-01 05:02:00,entered,0.87
GEO000033,P00381,LOC0026,2026-03-17 05:01:00,entered,0.78
GEO000034,P00447,LOC0019,2026-06-10 14:04:00,exited,0.8
GEO000035,P00343,LOC0066,2026-06-15 02:05:00,entered,0.92
GEO000036,P00010,LOC0053,2026-05-10 12:37:00,stayed,0.89
GEO000037,P00124,LOC0160,2026-03-30 03:11:00,stayed,0.85
GEO000038,P00719,LOC0123,2026-07-27 00:01:00,entered,0.77
GEO000039,P00416,LOC0107,2026-08-20 12:56:00,seen,0.86
GEO000040,P00595,LOC0019,2026-08-28 19:10:00,stayed,0.92
GEO000041,P00516,LOC0069,2026-04-10 13:58:00,exited,0.76
GEO000042,P00577,LOC0069,2026-02-12 19:20:00,entered,0.79
GEO000043,P00508,LOC0079,2026-03-19 13:56:00,stayed,0.98
GEO000044,P00027,LOC0173,2026-01-27 16:07:00,entered,0.94
GEO000045,P00387,LOC0119,2026-08-08 03:43:00,exited,0.74
GEO000046,P00640,LOC0151,2026-05-26 11:44:00,seen,0.98
GEO000047,P00522,LOC0001,2026-05-31 05:26:00,seen,0.69
GEO000048,P00869,LOC0140,2026-05-22 06:57:00,seen,0.75
GEO000049,P00207,LOC0005,2026-01-12 03:28:00,stayed,0.73
GEO000050,P00163,LOC0065,2026-04-05 11:33:00,seen,0.83
GEO000051,P00128,LOC0057,2026-06-18 12:31:00,entered,0.67
GEO000052,P00486,LOC0099,2026-06-29 06:28:00,stayed,0.76
GEO000053,P00212,LOC0096,2026-05-31 20:14:00,entered,0.7
GEO000054,P00345,LOC0004,2026-02-03 06:59:00,stayed,0.81
GEO000055,P00677,LOC0068,2026-01-22 00:32:00,seen,0.86
GEO000056,P00994,LOC0147,2026-08-03 22:18:00,exited,0.67
GEO000057,P00103,LOC0075,2026-01-24 17:35:00,exited,0.96
GEO000058,P00501,LOC0145,2026-03-04 03:22:00,stayed,0.97
GEO000059,P00347,LOC0083,2026-03-01 00:58:00,stayed,0.83
GEO000060,P00246,LOC0162,2026-02-17 08:57:00,seen,0.92
GEO000061,P00222,LOC0095,2026-08-01 08:12:00,exited,0.7
GEO000062,P00056,LOC0057,2026-02-13 01:33:00,stayed,0.84
GEO000063,P00295,LOC0066,2026-03-21 23:53:00,entered,0.78
GEO000064,P00613,LOC0094,2026-06-13 01:44:00,entered,0.83
GEO000065,P00306,LOC0030,2026-05-01 16:36:00,entered,0.71
GEO000066,P00217,LOC0175,2026-01-24 02:08:00,exited,0.78
GEO000067,P00035,LOC0179,2026-05-23 15:14:00,stayed,0.7
GEO000068,P00377,LOC0168,2026-03-01 21:41:00,seen,0.67
GEO000069,P00501,LOC0169,2026-06-05 03:17:00,stayed,0.66
GEO000070,P00399,LOC0132,2026-06-30 07:10:00,seen,0.81
GEO000071,P00360,LOC0017,2026-07-14 21:18:00,exited,0.79
GEO000072,P00993,LOC0125,2026-08-30 23:36:00,seen,0.85
GEO000073,P00899,LOC0120,2026-07-03 15:23:00,entered,0.86
