head,relation,tail,source_id,timestamp,confidence
P00391,USES_PHONE,PH00001,phones,,1.0
P00683,USES_PHONE,PH00002,phones,,1.0
P00619,USES_PHONE,PH00003,phones,,1.0
P00075,USES_PHONE,PH00004,phones,,1.0
P00355,USES_PHONE,PH00005,phones,,1.0
P00432,USES_PHONE,PH00006,phones,,1.0
P00469,USES_PHONE,PH00007,phones,,1.0
P00052,USES_PHONE,PH00008,phones,,1.0
P00189,USES_PHONE,PH00009,phones,,1.0
P00798,USES_PHONE,PH00010,phones,,1.0
P00139,USES_PHONE,PH00011,phones,,1.0
P00437,USES_PHONE,PH00012,phones,,1.0
P00441,USES_PHONE,PH00013,phones,,1.0
P00003,USES_PHONE,PH00014,phones,,1.0
P00476,USES_PHONE,PH00015,phones,,1.0
P00236,USES_PHONE,PH00016,phones,,1.0
P00635,USES_PHONE,PH00017,phones,,1.0
P00673,USES_PHONE,PH00018,phones,,1.0
P00470,USES_PHONE,PH00019,phones,,1.0
P00961,USES_PHONE,PH00020,phones,,1.0
P00855,USES_PHONE,PH00021,phones,,1.0
P00696,USES_PHONE,PH00022,phones,,1.0
P00888,USES_PHONE,PH00023,phones,,1.0
P00084,USES_PHONE,PH00024,phones,,1.0
P00603,USES_PHONE,PH00025,phones,,1.0
P00569,USES_PHONE,PH00026,phones,,1.0
P00062,USES_PHONE,PH00027,phones,,1.0
P00889,USES_PHONE,PH00028,phones,,1.0
P00840,USES_PHONE,PH00029,phones,,1.0
P00825,USES_PHONE,PH00030,phones,,1.0
P00344,USES_PHONE,PH00031,phones,,1.0
P00276,USES_PHONE,PH00032,phones,,1.0
P00386,USES_PHONE,PH00033,phones,,1.0
P00510,USES_PHONE,PH00034,phones,,1.0
P00539,USES_PHONE,PH00035,phones,,1.0
P00781,USES_PHONE,PH00036,phones,,1.0
P00175,USES_PHONE,PH00037,phones,,1.0
P00640,USES_PHONE,PH00038,phones,,1.0
P00259,USES_PHONE,PH00039,phones,,1.0
P00381,USES_PHONE,PH00040,phones,,1.0
P00002,USES_PHONE,PH00041,phones,,1.0
P00728,USES_PHONE,PH00042,phones,,1.0
P00519,USES_PHONE,PH00043,phones,,1.0
P00019,USES_PHONE,PH00044,phones,,1.0
P00310,USES_PHONE,PH00045,phones,,1.0
P00361,USES_PHONE,PH00046,phones,,1.0
P00872,USES_PHONE,PH00047,phones,,1.0
P00564,USES_PHONE,PH00048,phones,,1.0
P00587,USES_PHONE,PH00049,phones,,1.0
P00425,USES_PHONE,PH00050,phones,,1.0
P00384,USES_PHONE,PH00051,phones,,1.0
P00841,USES_PHONE,PH00052,phones,,1.0
P00620,USES_PHONE,PH00053,phones,,1.0
P00039,USES_PHONE,PH00054,phones,,1.0
P00711,USES_PHONE,PH00055,phones,,1.0
P00962,USES_PHONE,PH00056,phones,,1.0
P00843,USES_PHONE,PH00057,phones,,1.0
P00891,USES_PHONE,PH00058,phones,,1.0
P00912,USES_PHONE,PH00059,phones,,1.0
P00499,USES_PHONE,PH00060,phones,,1.0
P00766,USES_PHONE,PH00061,phones,,1.0
P00670,USES_PHONE,PH00062,phones,,1.0
P00685,USES_PHONE,PH00063,phones,,1.0
P00787,USES_PHONE,PH00064,phones,,1.0
P00398,USES_PHONE,PH00065,phones,,1.0
P00919,USES_PHONE,PH00066,phones,,1.0
P00168,USES_PHONE,PH00067,phones,,1.0
P00983,USES_PHONE,PH00068,phones,,1.0
P00836,USES_PHONE,PH00069,phones,,1.0
P00784,USES_PHONE,PH00070,phones,,1.0
P00297,USES_PHONE,PH00071,phones,,1.0
P00266,USES_PHONE,PH00072,phones,,1.0
P00509,USES_PHONE,PH00073,phones,,1.0
P00061,USES_PHONE,PH00074,phones,,1.0
P00702,USES_PHONE,PH00075,phones,,1.0
P00056,USES_PHONE,PH00076,phones,,1.0
P00735,USES_PHONE,PH00077,phones,,1.0
P00800,USES_PHONE,PH00078,phones,,1.0
P00948,USES_PHONE,PH00079,phones,,1.0
P00916,USES_PHONE,PH00080,phones,,1.0
P00910,USES_PHONE,PH00081,phones,,1.0
P00260,USES_PHONE,PH00082,phones,,1.0
P00055,USES_PHONE,PH00083,phones,,1.0
P00833,USES_PHONE,PH00084,phones,,1.0
P00789,USES_PHONE,PH00085,phones,,1.0
P00542,USES_PHONE,PH00086,phones,,1.0
P00449,USES_PHONE,PH00087,phones,,1.0
P00208,USES_PHONE,PH00088,phones,,1.0
P00816,USES_PHONE,PH00089,phones,,1.0
P00846,USES_PHONE,PH00090,phones,,1.0
P00348,USES_PHONE,PH00091,phones,,1.0
P00994,USES_PHONE,PH00092,phones,,1.0
P00907,USES_PHONE,PH00093,phones,,1.0
P00497,USES_PHONE,PH00094,phones,,1.0
P00669,USES_PHONE,PH00095,phones,,1.0
P00824,USES_PHONE,PH00096,phones,,1.0
P00141,USES_PHONE,PH00097,phones,,1.0
P00133,USES_PHONE,PH00098,phones,,1.0
P00687,USES_PHONE,PH00099,phones,,1.0
P00081,USES_PHONE,PH00100,phones,,1.0
P00187,USES_PHONE,PH00101,phones,,1.0
P00538,USES_PHONE,PH00102,phones,,1.0
P00904,USES_PHONE,PH00103,phones,,1.0
P00935,USES_PHONE,PH00104,phones,,1.0
P00279,USES_PHONE,PH00105,phones,,1.0
P00779,USES_PHONE,PH00106,phones,,1.0
P00698,USES_PHONE,PH00107,phones,,1.0
P00899,USES_PHONE,PH00108,phones,,1.0
P00535,USES_PHONE,PH00109,phones,,1.0
P00523,USES_PHONE,PH00110,phones,,1.0
P00777,USES_PHONE,PH00111,phones,,1.0
P00532,USES_PHONE,PH00112,phones,,1.0
P00200,USES_PHONE,PH00113,phones,,1.0
P00309,USES_PHONE,PH00114,phones,,1.0
P00170,USES_PHONE,PH00115,phones,,1.0
P00035,USES_PHONE,PH00116,phones,,1.0
P00717,USES_PHONE,PH00117,phones,,1.0
P00918,USES_PHONE,PH00118,phones,,1.0
P00950,USES_PHONE,PH00119,phones,,1.0
P00360,USES_PHONE,PH00120,phones,,1.0
P00142,USES_PHONE,PH00121,phones,,1.0
P00590,USES_PHONE,PH00122,phones,,1.0
P00171,USES_PHONE,PH00123,phones,,1.0
P00583,USES_PHONE,PH00124,phones,,1.0
P00134,USES_PHONE,PH00125,phones,,1.0
P00878,USES_PHONE,PH00126,phones,,1.0
