item_id,item_type
ITEM00001,parcel
ITEM00002,parcel
ITEM00003,parcel
ITEM00004,vehicle_part
ITEM00005,device
ITEM00006,other
ITEM00007,electronics
ITEM00008,parcel
ITEM00009,device
ITEM00010,vehicle_part
ITEM00011,device
ITEM00012,other
ITEM00013,other
ITEM00014,other
ITEM00015,device
ITEM00016,other
ITEM00017,document
ITEM00018,parcel
ITEM00019,other
ITEM00020,document
ITEM00021,electronics
ITEM00022,parcel
ITEM00023,document
ITEM00024,vehicle_part
ITEM00025,electronics
ITEM00026,document
ITEM00027,electronics
ITEM00028,parcel
ITEM00029,document
ITEM00030,other
ITEM00031,vehicle_part
ITEM00032,device
ITEM00033,device
ITEM00034,document
ITEM00035,document
ITEM00036,parcel
ITEM00037,vehicle_part
ITEM00038,document
ITEM00039,electronics
ITEM00040,device
ITEM00041,parcel
ITEM00042,other
ITEM00043,other
ITEM00044,vehicle_part
ITEM00045,document
ITEM00046,electronics
ITEM00047,parcel
ITEM00048,parcel
ITEM00049,device
ITEM00050,other
ITEM00051,parcel
ITEM00052,parcel
ITEM00053,document
ITEM00054,parcel
ITEM00055,other
ITEM00056,other
ITEM00057,other
ITEM00058,document
ITEM00059,other
ITEM00060,vehicle_part
ITEM00061,electronics
ITEM00062,device
ITEM00063,other
ITEM00064,device
ITEM00065,device
ITEM00066,device
ITEM00067,electronics
ITEM00068,vehicle_part
ITEM00069,parcel
ITEM00070,document
ITEM00071,electronics
ITEM00072,electronics
ITEM00073,other
ITEM00074,device
ITEM00075,vehicle_part
ITEM00076,document
ITEM00077,other
ITEM00078,electronics
ITEM00079,device
ITEM00080,parcel
ITEM00081,other
ITEM00082,vehicle_part
ITEM00083,vehicle_part
ITEM00084,parcel
ITEM00085,device
ITEM00086,parcel
ITEM00087,electronics
ITEM00088,document
ITEM00089,vehicle_part
ITEM00090,device
ITEM00091,electronics
ITEM00092,parcel
ITEM00093,vehicle_part
ITEM00094,document
ITEM00095,electronics
ITEM00096,other
ITEM00097,document
ITEM00098,device
ITEM00099,other
ITEM00100,vehicle_part
ITEM00101,other
ITEM00102,electronics
ITEM00103,other
ITEM00104,vehicle_part
ITEM00105,device
ITEM00106,parcel
ITEM00107,parcel
ITEM00108,vehicle_part
ITEM00109,electronics
ITEM00110,parcel
ITEM00111,electronics
ITEM00112,vehicle_part
ITEM00113,device
ITEM00114,other
ITEM00115,vehicle_part
ITEM00116,parcel
ITEM00117,parcel
ITEM00118,other
ITEM00119,electronics
ITEM00120,device
ITEM00121,vehicle_part
ITEM00122,parcel
ITEM00123,vehicle_part
ITEM00124,document
ITEM00125,document
ITEM00126,document
ITEM00127,device
ITEM00128,vehicle_part
ITEM00129,document
ITEM00130,electronics
ITEM00131,electronics
ITEM00132,electronics
ITEM00133,parcel
ITEM00134,vehicle_part
ITEM00135,vehicle_part
ITEM00136,other
ITEM00137,vehicle_part
ITEM00138,document
ITEM00139,document
ITEM00140,electronics
ITEM00141,parcel
ITEM00142,other
ITEM00143,electronics
ITEM00144,electronics
ITEM00145,vehicle_part
ITEM00146,document
ITEM00147,vehicle_part
ITEM00148,document
ITEM00149,document
ITEM00150,vehicle_part
ITEM00151,other
ITEM00152,parcel
ITEM00153,device
ITEM00154,electronics
ITEM00155,device
ITEM00156,device
ITEM00157,device
ITEM00158,document
ITEM00159,vehicle_part
ITEM00160,document
ITEM00161,device
ITEM00162,device
ITEM00163,document
ITEM00164,document
ITEM00165,device
ITEM00166,device
ITEM00167,other
ITEM00168,document
ITEM00169,other
ITEM00170,electronics
ITEM00171,other
ITEM00172,vehicle_part
ITEM00173,device
ITEM00174,parcel
ITEM00175,electronics
ITEM00176,document
ITEM00177,vehicle_part
ITEM00178,device
ITEM00179,document
ITEM00180,document
ITEM00181,vehicle_part
ITEM00182,document
ITEM00183,vehicle_part
ITEM00184,other
ITEM00185,electronics
ITEM00186,device
ITEM00187,document
ITEM00188,other
ITEM00189,document
ITEM00190,device
ITEM00191,parcel
ITEM00192,vehicle_part
ITEM00193,electronics
ITEM00194,other
ITEM00195,other
ITEM00196,electronics
ITEM00197,vehicle_part
ITEM00198,other
ITEM00199,other
ITEM00200,device
ITEM00201,vehicle_part
ITEM00202,parcel
ITEM00203,other
ITEM00204,parcel
ITEM00205,device
ITEM00206,parcel
ITEM00207,vehicle_part
ITEM00208,device
ITEM00209,device
