location_id,location_name,city,latitude,longitude,location_type
LOC0001,Zone_0001,Gwalior,25.319012,78.449717,commercial
LOC0002,Zone_0002,Ujjain,22.247463,79.607894,residential
LOC0003,Zone_0003,Indore,26.910879,78.07159,public
LOC0004,Zone_0004,Indore,21.860085,73.7028,transport
LOC0005,Zone_0005,Jabalpur,24.870015,74.056078,transport
LOC0006,Zone_0006,Bhopal,20.977902,77.286632,warehouse
LOC0007,Zone_0007,Ujjain,25.076021,75.443765,office
LOC0008,Zone_0008,Nagpur,26.735704,73.182718,commercial
LOC0009,Zone_0009,Jabalpur,27.587528,79.821892,warehouse
LOC0010,Zone_0010,Indore,24.853237,73.033535,transport
LOC0011,Zone_0011,Gwalior,23.119163,79.028471,commercial
LOC0012,Zone_0012,Nagpur,26.47476,77.668265,residential
LOC0013,Zone_0013,Gwalior,21.686467,75.660666,transport
LOC0014,Zone_0014,Bhopal,21.403944,73.139024,warehouse
LOC0015,Zone_0015,Gwalior,22.474082,79.060952,public
LOC0016,Zone_0016,Ujjain,20.873125,74.890014,warehouse
LOC0017,Zone_0017,Gwalior,20.93278,75.27009,residential
LOC0018,Zone_0018,Bhopal,21.055367,76.752278,warehouse
LOC0019,Zone_0019,Gwalior,23.183558,78.312731,residential
LOC0020,Zone_0020,Bhopal,27.545591,77.271743,commercial
LOC0021,Zone_0021,Ujjain,25.692928,75.558338,office
LOC0022,Zone_0022,Gwalior,26.415072,75.454714,office
LOC0023,Zone_0023,Jabalpur,24.242421,73.598727,public
LOC0024,Zone_0024,Jabalpur,23.746397,75.798293,office
LOC0025,Zone_0025,Jabalpur,23.939166,79.554442,residential
LOC0026,Zone_0026,Nagpur,21.805287,73.167491,transport
LOC0027,Zone_0027,Gwalior,27.939002,75.741881,transport
LOC0028,Zone_0028,Bhopal,26.463162,73.909943,warehouse
LOC0029,Zone_0029,Nagpur,27.477297,79.43798,transport
LOC0030,Zone_0030,Nagpur,27.533197,77.073493,office
LOC0031,Zone_0031,Bhopal,21.707945,76.640593,public
LOC0032,Zone_0032,Jabalpur,26.930753,75.574966,residential
LOC0033,Zone_0033,Jabalpur,25.160425,78.439254,commercial
LOC0034,Zone_0034,Jabalpur,25.324298,73.669662,commercial
LOC0035,Zone_0035,Jabalpur,21.432753,73.539278,warehouse
LOC0036,Zone_0036,Ujjain,20.294273,79.671264,commercial
LOC0037,Zone_0037,Indore,20.057613,75.366503,commercial
LOC0038,Zone_0038,Ujjain,20.214665,79.736989,public
LOC0039,Zone_0039,Gwalior,20.229349,79.700258,residential
LOC0040,Zone_0040,Bhopal,22.182831,73.713028,public
LOC0041,Zone_0041,Ujjain,21.853388,79.386076,public
LOC0042,Zone_0042,Ujjain,23.525204,79.63052,residential
LOC0043,Zone_0043,Gwalior,22.416895,77.559365,warehouse
LOC0044,Zone_0044,Bhopal,23.791717,79.234586,commercial
LOC0045,Zone_0045,Gwalior,23.779075,74.368516,warehouse
LOC0046,Zone_0046,Bhopal,20.306254,76.999859,residential
LOC0047,Zone_0047,Ujjain,22.971369,75.044601,commercial
LOC0048,Zone_0048,Indore,25.757384,73.442013,office
LOC0049,Zone_0049,Nagpur,26.824171,76.821656,residential
LOC0050,Zone_0050,Jabalpur,24.614755,79.979794,commercial
LOC0051,Zone_0051,Bhopal,24.307683,78.725655,office
LOC0052,Zone_0052,Nagpur,21.337968,74.815246,residential
LOC0053,Zone_0053,Nagpur,24.412518,78.761698,public
LOC0054,Zone_0054,Jabalpur,20.862719,76.894299,office
LOC0055,Zone_0055,Bhopal,27.654076,76.671266,warehouse
LOC0056,Zone_0056,Jabalpur,25.74513,79.361039,residential
LOC0057,Zone_0057,Ujjain,25.516991,73.619422,transport
LOC0058,Zone_0058,Bhopal,27.739347,77.726213,commercial
LOC0059,Zone_0059,Indore,24.312768,76.356536,residential
LOC0060,Zone_0060,Ujjain,22.967412,73.099431,transport
LOC0061,Zone_0061,Gwalior,26.588867,74.793239,commercial
LOC0062,Zone_0062,Ujjain,24.81336,74.076548,residential
LOC0063,Zone_0063,Gwalior,22.314888,73.244631,residential
LOC0064,Zone_0064,Ujjain,23.570336,76.422219,commercial
LOC0065,Zone_0065,Jabalpur,22.501563,73.888473,public
LOC0066,Zone_0066,Jabalpur,27.658825,77.881213,residential
LOC0067,Zone_0067,Indore,20.95385,77.933906,office
LOC0068,Zone_0068,Bhopal,25.713687,75.790528,commercial
LOC0069,Zone_0069,Jabalpur,24.803875,77.373383,office
LOC0070,Zone_0070,Ujjain,24.5322,79.62786,warehouse
LOC0071,Zone_0071,Indore,25.387157,73.278965,office
LOC0072,Zone_0072,Indore,27.411167,79.082737,commercial
LOC0073,Zone_0073,Jabalpur,23.54,79.435957,warehouse
LOC0074,Zone_0074,Ujjain,27.672248,78.435132,commercial
LOC0075,Zone_0075,Gwalior,27.330143,78.339738,warehouse
LOC0076,Zone_0076,Indore,21.734416,79.950116,office
LOC0077,Zone_0077,Bhopal,21.480563,76.395178,warehouse
LOC0078,Zone_0078,Ujjain,27.809668,74.22162,warehouse
