org_id,org_type
ORG0001,company
ORG0002,association
ORG0003,ngo
ORG0004,ngo
ORG0005,association
ORG0006,ngo
ORG0007,ngo
ORG0008,ngo
ORG0009,vendor
ORG0010,ngo
ORG0011,association
ORG0012,vendor
ORG0013,company
ORG0014,vendor
ORG0015,association
ORG0016,vendor
ORG0017,company
ORG0018,association
ORG0019,shop
ORG0020,shop
ORG0021,shop
ORG0022,vendor
ORG0023,ngo
ORG0024,ngo
ORG0025,company
ORG0026,company
ORG0027,association
ORG0028,company
ORG0029,company
ORG0030,company
ORG0031,company
ORG0032,association
ORG0033,ngo
ORG0034,ngo
ORG0035,ngo
ORG0036,ngo
ORG0037,vendor
ORG0038,vendor
ORG0039,association
ORG0040,company
ORG0041,vendor
ORG0042,ngo
ORG0043,ngo
ORG0044,association
ORG0045,association
ORG0046,shop
ORG0047,vendor
ORG0048,vendor
ORG0049,vendor
ORG0050,association
ORG0051,company
ORG0052,vendor
ORG0053,company
ORG0054,company
ORG0055,ngo
ORG0056,ngo
ORG0057,company
ORG0058,association
ORG0059,association
ORG0060,shop
ORG0061,ngo
ORG0062,association
ORG0063,ngo
ORG0064,association
ORG0065,company
ORG0066,company
ORG0067,shop
ORG0068,vendor
ORG0069,shop
ORG0070,company
ORG0071,company
ORG0072,association
ORG0073,vendor
ORG0074,vendor
ORG0075,association
ORG0076,vendor
ORG0077,ngo
ORG0078,association
ORG0079,shop
ORG0080,ngo
ORG0081,shop
ORG0082,ngo
ORG0083,shop
ORG0084,shop
ORG0085,company
ORG0086,association
ORG0087,association
ORG0088,shop
ORG0089,ngo
ORG0090,vendor
ORG0091,association
ORG0092,company
ORG0093,association
ORG0094,shop
ORG0095,ngo
ORG0096,ngo
ORG0097,vendor
ORG0098,ngo
ORG0099,vendor
ORG0100,company
ORG0101,vendor
ORG0102,association
ORG0103,association
ORG0104,shop
ORG0105,shop
ORG0106,association
ORG0107,shop
ORG0108,shop
ORG0109,ngo
ORG0110,company
ORG0111,vendor
ORG0112,ngo
ORG0113,ngo
ORG0114,company
ORG0115,association
ORG0116,vendor
ORG0117,vendor
ORG0118,ngo
ORG0119,vendor
ORG0120,vendor
