person_id,name_token,occupation,home_location_id
P00001,PERSON_00001,student,LOC0015
P00002,PERSON_00002,business,LOC0059
P00003,PERSON_00003,business,LOC0119
P00004,PERSON_00004,driver,LOC0027
P00005,PERSON_00005,other,LOC0172
P00006,PERSON_00006,student,LOC0175
P00007,PERSON_00007,driver,LOC0009
P00008,PERSON_00008,other,LOC0139
P00009,PERSON_00009,business,LOC0152
P00010,PERSON_00010,clerk,LOC0073
P00011,PERSON_00011,clerk,LOC0139
P00012,PERSON_00012,worker,LOC0082
P00013,PERSON_00013,driver,LOC0008
P00014,PERSON_00014,trader,LOC0054
P00015,PERSON_00015,business,LOC0126
P00016,PERSON_00016,worker,LOC0158
P00017,PERSON_00017,business,LOC0143
P00018,PERSON_00018,driver,LOC0170
P00019,PERSON_00019,student,LOC0134
P00020,PERSON_00020,other,LOC0083
P00021,PERSON_00021,other,LOC0130
P00022,PERSON_00022,clerk,LOC0133
P00023,PERSON_00023,trader,LOC0174
P00024,PERSON_00024,other,LOC0152
P00025,PERSON_00025,clerk,LOC0045
P00026,PERSON_00026,trader,LOC0139
P00027,PERSON_00027,student,LOC0080
P00028,PERSON_00028,engineer,LOC0038
P00029,PERSON_00029,other,LOC0172
P00030,PERSON_00030,other,LOC0043
P00031,PERSON_00031,trader,LOC0039
P00032,PERSON_00032,clerk,LOC0171
P00033,PERSON_00033,clerk,LOC0162
P00034,PERSON_00034,other,LOC0075
P00035,PERSON_00035,clerk,LOC0064
P00036,PERSON_00036,engineer,LOC0165
P00037,PERSON_00037,engineer,LOC0083
P00038,PERSON_00038,driver,LOC0035
P00039,PERSON_00039,business,LOC0059
P00040,PERSON_00040,other,LOC0078
P00041,PERSON_00041,business,LOC0089
P00042,PERSON_00042,driver,LOC0018
P00043,PERSON_00043,engineer,LOC0014
P00044,PERSON_00044,other,LOC0145
P00045,PERSON_00045,driver,LOC0047
P00046,PERSON_00046,worker,LOC0061
P00047,PERSON_00047,business,LOC0097
P00048,PERSON_00048,clerk,LOC0043
P00049,PERSON_00049,student,LOC0171
P00050,PERSON_00050,student,LOC0065
P00051,PERSON_00051,engineer,LOC0127
P00052,PERSON_00052,driver,LOC0034
P00053,PERSON_00053,clerk,LOC0113
P00054,PERSON_00054,engineer,LOC0103
P00055,PERSON_00055,worker,LOC0093
P00056,PERSON_00056,trader,LOC0148
P00057,PERSON_00057,business,LOC0019
P00058,PERSON_00058,other,LOC0077
P00059,PERSON_00059,trader,LOC0007
P00060,PERSON_00060,other,LOC0131
P00061,PERSON_00061,other,LOC0120
P00062,PERSON_00062,other,LOC0036
P00063,PERSON_00063,engineer,LOC0141
P00064,PERSON_00064,driver,LOC0004
P00065,PERSON_00065,driver,LOC0034
P00066,PERSON_00066,business,LOC0001
P00067,PERSON_00067,worker,LOC0051
P00068,PERSON_00068,clerk,LOC0066
P00069,PERSON_00069,trader,LOC0076
P00070,PERSON_00070,business,LOC0074
P00071,PERSON_00071,driver,LOC0043
P00072,PERSON_00072,business,LOC0155
