phone_id,owner_person_id,number_token,carrier
PH00001,P00391,NUM_00001,B
PH00002,P00683,NUM_00002,A
PH00003,P00619,NUM_00003,A
PH00004,P00075,NUM_00004,D
PH00005,P00355,NUM_00005,A
PH00006,P00432,NUM_00006,D
PH00007,P00469,NUM_00007,C
PH00008,P00052,NUM_00008,A
PH00009,P00189,NUM_00009,C
PH00010,P00798,NUM_00010,B
PH00011,P00139,NUM_00011,B
PH00012,P00437,NUM_00012,B
PH00013,P00441,NUM_00013,D
PH00014,P00003,NUM_00014,A
PH00015,P00476,NUM_00015,D
PH00016,P00236,NUM_00016,C
PH00017,P00635,NUM_00017,A
PH00018,P00673,NUM_00018,A
PH00019,P00470,NUM_00019,D
PH00020,P00961,NUM_00020,A
PH00021,P00855,NUM_00021,C
PH00022,P00696,NUM_00022,C
PH00023,P00888,NUM_00023,D
PH00024,P00084,NUM_00024,B
PH00025,P00603,NUM_00025,D
PH00026,P00569,NUM_00026,A
PH00027,P00062,NUM_00027,C
PH00028,P00889,NUM_00028,C
PH00029,P00840,NUM_00029,A
PH00030,P00825,NUM_00030,B
PH00031,P00344,NUM_00031,B
PH00032,P00276,NUM_00032,B
PH00033,P00386,NUM_00033,D
PH00034,P00510,NUM_00034,C
PH00035,P00539,NUM_00035,A
PH00036,P00781,NUM_00036,B
PH00037,P00175,NUM_00037,C
PH00038,P00640,NUM_00038,D
PH00039,P00259,NUM_00039,A
PH00040,P00381,NUM_00040,C
PH00041,P00002,NUM_00041,B
PH00042,P00728,NUM_00042,B
PH00043,P00519,NUM_00043,A
PH00044,P00019,NUM_00044,C
PH00045,P00310,NUM_00045,C
PH00046,P00361,NUM_00046,A
PH00047,P00872,NUM_00047,A
PH00048,P00564,NUM_00048,D
PH00049,P00587,NUM_00049,C
PH00050,P00425,NUM_00050,B
PH00051,P00384,NUM_00051,B
PH00052,P00841,NUM_00052,A
PH00053,P00620,NUM_00053,C
PH00054,P00039,NUM_00054,D
PH00055,P00711,NUM_00055,D
PH00056,P00962,NUM_00056,D
PH00057,P00843,NUM_00057,B
PH00058,P00891,NUM_00058,A
PH00059,P00912,NUM_00059,B
PH00060,P00499,NUM_00060,A
PH00061,P00766,NUM_00061,D
PH00062,P00670,NUM_00062,B
PH00063,P00685,NUM_00063,B
PH00064,P00787,NUM_00064,D
PH00065,P00398,NUM_00065,D
PH00066,P00919,NUM_00066,D
PH00067,P00168,NUM_00067,C
PH00068,P00983,NUM_00068,A
PH00069,P00836,NUM_00069,B
PH00070,P00784,NUM_00070,D
PH00071,P00297,NUM_00071,A
PH00072,P00266,NUM_00072,A
PH00073,P00509,NUM_00073,B
PH00074,P00061,NUM_00074,B
PH00075,P00702,NUM_00075,C
PH00076,P00056,NUM_00076,D
PH00077,P00735,NUM_00077,D
PH00078,P00800,NUM_00078,B
PH00079,P00948,NUM_00079,A
PH00080,P00916,NUM_00080,D
PH00081,P00910,NUM_00081,D
PH00082,P00260,NUM_00082,B
PH00083,P00055,NUM_00083,D
PH00084,P00833,NUM_00084,C
PH00085,P00789,NUM_00085,C
PH00086,P00542,NUM_00086,B
PH00087,P00449,NUM_00087,B
PH00088,P00208,NUM_00088,B
PH00089,P00816,NUM_00089,C
PH00090,P00846,NUM_00090,C
PH00091,P00348,NUM_00091,D
PH00092,P00994,NUM_00092,B
PH00093,P00907,NUM_00093,B
PH00094,P00497,NUM_00094,A
PH00095,P00669,NUM_00095,A
PH00096,P00824,NUM_00096,D
PH00097,P00141,NUM_00097,D
PH00098,P00133,NUM_00098,D
PH00099,P00687,NUM_00099,B
PH00100,P00081,NUM_00100,D
PH00101,P00187,NUM_00101,A
PH00102,P00538,NUM_00102,D
PH00103,P00904,NUM_00103,A
PH00104,P00935,NUM_00104,A
PH00105,P00279,NUM_00105,A
PH00106,P00779,NUM_00106,D
PH00107,P00698,NUM_00107,A
PH00108,P00899,NUM_00108,D
PH00109,P00535,NUM_00109,A
PH00110,P00523,NUM_00110,B
PH00111,P00777,NUM_00111,D
PH00112,P00532,NUM_00112,A
PH00113,P00200,NUM_00113,D
PH00114,P00309,NUM_00114,A
PH00115,P00170,NUM_00115,A
PH00116,P00035,NUM_00116,C
PH00117,P00717,NUM_00117,B
PH00118,P00918,NUM_00118,D
PH00119,P00950,NUM_00119,A
PH00120,P00360,NUM_00120,D
PH00121,P00142,NUM_00121,C
PH00122,P00590,NUM_00122,B
PH00123,P00171,NUM_00123,B
PH00124,P00583,NUM_00124,C
PH00125,P00134,NUM_00125,B
PH00126,P00878,NUM_00126,A
PH00127,P00192,NUM_00127,C
PH00128,P00189,NUM_00128,C
PH00129,P00215,NUM_00129,C
PH00130,P00181,NUM_00130,C
PH00131,P00199,NUM_00131,A
PH00132,P00679,NUM_00132,C
PH00133,P00300,NUM_00133,C
PH00134,P00333,NUM_00134,C
PH00135,P00852,NUM_00135,D
PH00136,P00859,NUM_00136,B
PH00137,P00182,NUM_00137,A
PH00138,P00982,NUM_00138,B
PH00139,P00433,NUM_00139,B
PH00140,P00799,NUM_00140,C
PH00141,P00347,NUM_00141,A
PH00142,P00135,NUM_00142,A
PH00143,P00328,NUM_00143,A
PH00144,P00414,NUM_00144,A
PH00145,P00944,NUM_00145,C
PH00146,P00534,NUM_00146,B
PH00147,P00394,NUM_00147,B
PH00148,P00070,NUM_00148,A
PH00149,P00392,NUM_00149,C
PH00150,P00264,NUM_00150,C
PH00151,P00334,NUM_00151,D
PH00152,P00524,NUM_00152,D
PH00153,P00059,NUM_00153,C
PH00154,P00392,NUM_00154,C
PH00155,P00675,NUM_00155,B
PH00156,P00895,NUM_00156,B
PH00157,P00091,NUM_00157,B
PH00158,P00404,NUM_00158,B
PH00159,P00549,NUM_00159,C
PH00160,P00037,NUM_00160,D
PH00161,P00476,NUM_00161,C
PH00162,P00956,NUM_00162,C
PH00163,P00998,NUM_00163,B
PH00164,P00963,NUM_00164,D
PH00165,P00809,NUM_00165,B
PH00166,P00586,NUM_00166,D
PH00167,P00163,NUM_00167,A
PH00168,P00160,NUM_00168,C
PH00169,P00970,NUM_00169,A
PH00170,P00892,NUM_00170,A
PH00171,P00609,NUM_00171,C
PH00172,P00472,NUM_00172,B
PH00173,P00531,NUM_00173,D
PH00174,P00454,NUM_00174,A
PH00175,P00293,NUM_00175,C
PH00176,P00519,NUM_00176,D
PH00177,P00260,NUM_00177,A
PH00178,P00610,NUM_00178,D
PH00179,P00748,NUM_00179,D
PH00180,P00618,NUM_00180,C
PH00181,P00092,NUM_00181,B
PH00182,P00686,NUM_00182,C
PH00183,P00595,NUM_00183,A
PH00184,P00810,NUM_00184,B
PH00185,P00411,NUM_00185,C
PH00186,P00967,NUM_00186,B
PH00187,P00096,NUM_00187,B
PH00188,P00235,NUM_00188,B
PH00189,P00928,NUM_00189,B
PH00190,P00785,NUM_00190,C
PH00191,P00130,NUM_00191,B
PH00192,P00190,NUM_00192,B
PH00193,P00765,NUM_00193,B
PH00194,P00550,NUM_00194,C
PH00195,P00572,NUM_00195,C
