transaction_id,from_account_id,to_account_id,amount,timestamp,channel,location_id
TX000001,ACC00042,ACC01174,4874.16,2026-06-13 08:25:00,cash_deposit,LOC0041
TX000002,ACC00339,ACC00964,15496.82,2026-08-21 01:13:00,upi,LOC0016
TX000003,ACC00170,ACC00688,1485.76,2026-05-09 17:36:00,wallet,LOC0169
TX000004,ACC00994,ACC01090,5859.51,2026-04-21 15:42:00,wallet,LOC0121
TX000005,ACC00246,ACC00978,2510.83,2026-08-18 09:53:00,bank,LOC0038
TX000006,ACC00541,ACC00726,4800.93,2026-02-21 06:41:00,upi,LOC0004
TX000007,ACC01084,ACC01165,28559.32,2026-03-18 01:12:00,bank,LOC0009
TX000008,ACC00296,ACC00374,51044.69,2026-08-27 03:06:00,bank,LOC0045
TX000009,ACC00592,ACC01079,12733.86,2026-04-03 15:23:00,upi,LOC0067
TX000010,ACC00216,ACC00466,21996.77,2026-04-25 20:44:00,wallet,LOC0083
TX000011,ACC00549,ACC01094,20189.91,2026-01-02 19:00:00,upi,LOC0112
TX000012,ACC00440,ACC01032,2592.13,2026-04-26 17:23:00,upi,LOC0137
TX000013,ACC00846,ACC00042,17597.62,2026-02-19 16:38:00,bank,LOC0028
TX000014,ACC00055,ACC00894,5228.6,2026-02-26 04:47:00,wallet,LOC0062
TX000015,ACC00722,ACC00270,18330.61,2026-05-15 22:50:00,upi,LOC0170
TX000016,ACC00539,ACC01010,33348.42,2026-03-06 15:12:00,bank,LOC0162
TX000017,ACC00580,ACC00112,5608.46,2026-01-09 11:47:00,bank,LOC0058
TX000018,ACC00089,ACC00731,9816.03,2026-07-09 12:55:00,wallet,LOC0126
TX000019,ACC00679,ACC00687,15273.27,2026-08-24 01:23:00,upi,LOC0178
TX000020,ACC00010,ACC00781,3637.73,2026-04-25 16:34:00,bank,LOC0148
TX000021,ACC00969,ACC00520,7870.6,2026-06-26 18:54:00,bank,LOC0088
TX000022,ACC00404,ACC00176,6060.97,2026-06-25 08:40:00,bank,LOC0153
TX000023,ACC00868,ACC00397,2732.36,2026-07-07 19:28:00,upi,LOC0024
TX000024,ACC00025,ACC00627,27604.46,2026-07-03 22:03:00,wallet,LOC0080
TX000025,ACC00539,ACC00926,24472.31,2026-03-02 10:33:00,cash_deposit,LOC0102
TX000026,ACC00891,ACC00317,11034.27,2026-08-10 16:13:00,bank,LOC0156
TX000027,ACC00846,ACC00792,6622.29,2026-04-30 14:32:00,cash_deposit,LOC0140
TX000028,ACC00997,ACC00430,3518.94,2026-08-26 06:47:00,upi,LOC0137
TX000029,ACC00817,ACC00113,4450.92,2026-05-13 17:47:00,bank,LOC0138
TX000030,ACC00410,ACC00650,8313.98,2026-03-23 11:02:00,cash_deposit,LOC0089
TX000031,ACC00159,ACC00162,7068.57,2026-06-20 18:08:00,bank,LOC0030
TX000032,ACC00058,ACC00382,943.52,2026-08-25 18:51:00,wallet,LOC0140
TX000033,ACC01070,ACC00630,3029.41,2026-03-26 09:59:00,bank,LOC0095
TX000034,ACC00987,ACC00467,14295.06,2026-01-19 19:08:00,wallet,LOC0079
TX000035,ACC01010,ACC00078,3004.23,2026-07-12 08:27:00,upi,LOC0126
TX000036,ACC00398,ACC00106,813.63,2026-07-01 08:22:00,cash_deposit,LOC0133
TX000037,ACC00817,ACC00981,18808.3,2026-03-01 18:24:00,wallet,LOC0037
TX000038,ACC00912,ACC00408,1855.82,2026-06-29 22:13:00,upi,LOC0088
TX000039,ACC00350,ACC00014,3547.94,2026-04-13 14:25:00,wallet,LOC0059
