vehicle_id,owner_person_id,vehicle_type,registration_token
VEH00001,P00802,car,REG_00001
VEH00002,P00069,van,REG_00002
VEH00003,P00414,auto,REG_00003
VEH00004,P00576,truck,REG_00004
VEH00005,P00917,car,REG_00005
VEH00006,P00507,car,REG_00006
VEH00007,P00531,truck,REG_00007
VEH00008,P00873,auto,REG_00008
VEH00009,P00582,truck,REG_00009
VEH00010,P00575,car,REG_00010
VEH00011,P00647,bike,REG_00011
VEH00012,P00125,truck,REG_00012
VEH00013,P00013,bike,REG_00013
VEH00014,P00877,truck,REG_00014
VEH00015,P00529,van,REG_00015
VEH00016,P00292,car,REG_00016
VEH00017,P00826,bike,REG_00017
VEH00018,P00336,bike,REG_00018
VEH00019,P00901,car,REG_00019
VEH00020,P00468,van,REG_00020
VEH00021,P00024,bike,REG_00021
VEH00022,P00908,truck,REG_00022
VEH00023,P00666,auto,REG_00023
VEH00024,P00691,truck,REG_00024
VEH00025,P00789,auto,REG_00025
VEH00026,P00013,truck,REG_00026
VEH00027,P00423,van,REG_00027
VEH00028,P00739,truck,REG_00028
VEH00029,P00037,truck,REG_00029
VEH00030,P00399,truck,REG_00030
VEH00031,P00222,car,REG_00031
VEH00032,P00119,truck,REG_00032
VEH00033,P00015,auto,REG_00033
VEH00034,P00626,van,REG_00034
VEH00035,P00471,truck,REG_00035
VEH00036,P00130,van,REG_00036
VEH00037,P00970,van,REG_00037
VEH00038,P00308,van,REG_00038
VEH00039,P00827,auto,REG_00039
VEH00040,P00561,car,REG_00040
VEH00041,P00286,auto,REG_00041
VEH00042,P00941,bike,REG_00042
VEH00043,P00453,van,REG_00043
VEH00044,P00161,truck,REG_00044
VEH00045,P00855,van,REG_00045
VEH00046,P00822,bike,REG_00046
VEH00047,P00732,truck,REG_00047
VEH00048,P00016,auto,REG_00048
VEH00049,P00787,truck,REG_00049
VEH00050,P00310,bike,REG_00050
VEH00051,P00752,van,REG_00051
VEH00052,P00008,van,REG_00052
VEH00053,P00974,bike,REG_00053
VEH00054,P00140,truck,REG_00054
VEH00055,P00151,auto,REG_00055
VEH00056,P00814,van,REG_00056
VEH00057,P00756,auto,REG_00057
VEH00058,P00247,bike,REG_00058
VEH00059,P00224,auto,REG_00059
VEH00060,P00310,truck,REG_00060
VEH00061,P00242,auto,REG_00061
VEH00062,P00057,auto,REG_00062
VEH00063,P00798,truck,REG_00063
VEH00064,P00354,truck,REG_00064
VEH00065,P00635,auto,REG_00065
VEH00066,P00648,auto,REG_00066
VEH00067,P00161,van,REG_00067
VEH00068,P00494,auto,REG_00068
VEH00069,P00423,bike,REG_00069
VEH00070,P00438,truck,REG_00070
VEH00071,P00930,van,REG_00071
VEH00072,P00822,bike,REG_00072
VEH00073,P00998,auto,REG_00073
VEH00074,P00951,car,REG_00074
VEH00075,P00764,bike,REG_00075
VEH00076,P00864,car,REG_00076
VEH00077,P00295,truck,REG_00077
VEH00078,P00805,van,REG_00078
VEH00079,P00983,bike,REG_00079
VEH00080,P00097,van,REG_00080
VEH00081,P00521,truck,REG_00081
VEH00082,P00076,car,REG_00082
VEH00083,P00359,bike,REG_00083
VEH00084,P00469,bike,REG_00084
VEH00085,P00491,car,REG_00085
VEH00086,P00849,bike,REG_00086
VEH00087,P00016,car,REG_00087
VEH00088,P00536,car,REG_00088
VEH00089,P00375,van,REG_00089
VEH00090,P00822,auto,REG_00090
VEH00091,P00960,truck,REG_00091
VEH00092,P00958,car,REG_00092
VEH00093,P00150,bike,REG_00093
VEH00094,P00658,truck,REG_00094
VEH00095,P00024,truck,REG_00095
VEH00096,P00436,bike,REG_00096
VEH00097,P00227,car,REG_00097
VEH00098,P00619,car,REG_00098
VEH00099,P00821,auto,REG_00099
VEH00100,P00421,bike,REG_00100
VEH00101,P00859,car,REG_00101
VEH00102,P00485,car,REG_00102
VEH00103,P00175,auto,REG_00103
VEH00104,P00620,bike,REG_00104
VEH00105,P00326,car,REG_00105
VEH00106,P00710,truck,REG_00106
VEH00107,P00454,bike,REG_00107
VEH00108,P00304,truck,REG_00108
VEH00109,P00937,auto,REG_00109
VEH00110,P00315,bike,REG_00110
VEH00111,P00427,auto,REG_00111
VEH00112,P00718,van,REG_00112
VEH00113,P00683,bike,REG_00113
VEH00114,P00174,van,REG_00114
VEH00115,P00927,auto,REG_00115
VEH00116,P00083,car,REG_00116
VEH00117,P00390,auto,REG_00117
VEH00118,P00680,van,REG_00118
VEH00119,P00036,van,REG_00119
VEH00120,P00715,truck,REG_00120
VEH00121,P00680,auto,REG_00121
VEH00122,P00744,car,REG_00122
VEH00123,P00257,van,REG_00123
VEH00124,P00657,auto,REG_00124
VEH00125,P00955,truck,REG_00125
VEH00126,P00511,van,REG_00126
VEH00127,P00807,auto,REG_00127
VEH00128,P00614,car,REG_00128
VEH00129,P00701,car,REG_00129
VEH00130,P00299,truck,REG_00130
VEH00131,P00858,auto,REG_00131
VEH00132,P00294,bike,REG_00132
VEH00133,P00623,auto,REG_00133
VEH00134,P00475,van,REG_00134
VEH00135,P00278,truck,REG_00135
VEH00136,P00808,truck,REG_00136
VEH00137,P00632,car,REG_00137
VEH00138,P00759,bike,REG_00138
VEH00139,P00094,truck,REG_00139
VEH00140,P00384,auto,REG_00140
VEH00141,P00875,truck,REG_00141
VEH00142,P00393,truck,REG_00142
