head,relation,tail
P00272,ASSOCIATED_WITH,P00350
P00334,ASSOCIATED_WITH,P00933
P00370,ASSOCIATED_WITH,P00054
P00082,ASSOCIATED_WITH,P00121
P00016,ASSOCIATED_WITH,P00433
P00394,ASSOCIATED_WITH,P00473
P00313,ASSOCIATED_WITH,P00935
P00055,ASSOCIATED_WITH,P00636
P00151,ASSOCIATED_WITH,P00322
P00026,ASSOCIATED_WITH,P00202
P00316,ASSOCIATED_WITH,P00927
P00322,ASSOCIATED_WITH,P00757
P00387,ASSOCIATED_WITH,P00587
P00022,ASSOCIATED_WITH,P00257
P00110,ASSOCIATED_WITH,P00408
P00134,ASSOCIATED_WITH,P00985
P00153,ASSOCIATED_WITH,P00456
P00368,ASSOCIATED_WITH,P00013
P00068,ASSOCIATED_WITH,P00473
P00383,ASSOCIATED_WITH,P00708
P00099,ASSOCIATED_WITH,P00897
P00088,ASSOCIATED_WITH,P00928
P00364,ASSOCIATED_WITH,P00396
P00299,ASSOCIATED_WITH,P00130
P00129,ASSOCIATED_WITH,P00491
P00058,ASSOCIATED_WITH,P00760
P00023,ASSOCIATED_WITH,P00274
P00077,ASSOCIATED_WITH,P00829
P00034,ASSOCIATED_WITH,P00734
P00366,ASSOCIATED_WITH,P00131
P00264,ASSOCIATED_WITH,P00514
P00080,ASSOCIATED_WITH,P00125
P00040,ASSOCIATED_WITH,P00316
P00238,ASSOCIATED_WITH,P00133
P00208,ASSOCIATED_WITH,P00214
P00190,ASSOCIATED_WITH,P00648
P00235,ASSOCIATED_WITH,P00001
P00302,ASSOCIATED_WITH,P00857
P00162,ASSOCIATED_WITH,P00227
P00030,ASSOCIATED_WITH,P00693
P00108,ASSOCIATED_WITH,P00240
P00031,ASSOCIATED_WITH,P00746
P00254,ASSOCIATED_WITH,P00680
P00350,ASSOCIATED_WITH,P00745
P00010,ASSOCIATED_WITH,P00615
P00102,ASSOCIATED_WITH,P00502
P00260,ASSOCIATED_WITH,P00203
P00125,ASSOCIATED_WITH,P00188
P00258,ASSOCIATED_WITH,P00813
P00114,ASSOCIATED_WITH,P00592
P00104,ASSOCIATED_WITH,P00144
P00046,ASSOCIATED_WITH,P00183
P00339,ASSOCIATED_WITH,P00029
P00166,ASSOCIATED_WITH,P00746
P00230,ASSOCIATED_WITH,P00057
P00218,ASSOCIATED_WITH,P00764
P00285,ASSOCIATED_WITH,P00571
P00393,ASSOCIATED_WITH,P00880
P00035,ASSOCIATED_WITH,P00298
P00335,ASSOCIATED_WITH,P00651
P00328,ASSOCIATED_WITH,P00750
P00294,ASSOCIATED_WITH,P00349
P00279,ASSOCIATED_WITH,P00211
P00130,ASSOCIATED_WITH,P00663
P00212,ASSOCIATED_WITH,P00334
P00320,ASSOCIATED_WITH,P00541
P00326,ASSOCIATED_WITH,P00312
P00369,ASSOCIATED_WITH,P00797
P00282,ASSOCIATED_WITH,P00910
P00259,ASSOCIATED_WITH,P00901
P00084,ASSOCIATED_WITH,P00237
P00089,ASSOCIATED_WITH,P00417
P00197,ASSOCIATED_WITH,P00970
P00234,ASSOCIATED_WITH,P00370
P00182,ASSOCIATED_WITH,P00244
P00115,ASSOCIATED_WITH,P00441
P00372,ASSOCIATED_WITH,P00715
P00112,ASSOCIATED_WITH,P00415
P00341,ASSOCIATED_WITH,P00593
P00056,ASSOCIATED_WITH,P00565
P00310,ASSOCIATED_WITH,P00844
P00001,ASSOCIATED_WITH,P00733
P00298,ASSOCIATED_WITH,P00410
P00274,ASSOCIATED_WITH,P00988
P00006,ASSOCIATED_WITH,P00482
P00145,ASSOCIATED_WITH,P00076
P00181,ASSOCIATED_WITH,P00353
P00192,ASSOCIATED_WITH,P00278
P00356,ASSOCIATED_WITH,P00756
P00106,ASSOCIATED_WITH,P00061
P00202,ASSOCIATED_WITH,P00709
P00359,ASSOCIATED_WITH,P00470
P00207,ASSOCIATED_WITH,P00549
P00284,ASSOCIATED_WITH,P00477
P00007,ASSOCIATED_WITH,P00721
P00011,ASSOCIATED_WITH,P00782
P00173,ASSOCIATED_WITH,P00613
P00038,ASSOCIATED_WITH,P00757
P00051,ASSOCIATED_WITH,P00050
P00273,ASSOCIATED_WITH,P00176
P00109,ASSOCIATED_WITH,P00886
P00241,ASSOCIATED_WITH,P00850
P00176,ASSOCIATED_WITH,P00472
P00378,ASSOCIATED_WITH,P00653
P00105,ASSOCIATED_WITH,P00898
P00161,ASSOCIATED_WITH,P00749
P00287,ASSOCIATED_WITH,P00241
P00332,ASSOCIATED_WITH,P00217
P00354,ASSOCIATED_WITH,P00291
P00096,ASSOCIATED_WITH,P00218
P00037,ASSOCIATED_WITH,P00203
P00107,ASSOCIATED_WITH,P00378
P00321,ASSOCIATED_WITH,P00582
P00184,ASSOCIATED_WITH,P00014
P00214,ASSOCIATED_WITH,P00814
P00219,ASSOCIATED_WITH,P00321
P00376,ASSOCIATED_WITH,P00783
P00319,ASSOCIATED_WITH,P00009
P00355,ASSOCIATED_WITH,P00978
P00392,ASSOCIATED_WITH,P00995
P00243,ASSOCIATED_WITH,P00634
P00269,ASSOCIATED_WITH,P00621
P00119,ASSOCIATED_WITH,P00416
P00367,ASSOCIATED_WITH,P00423
P00309,ASSOCIATED_WITH,P00779
P00304,ASSOCIATED_WITH,P00389
P00005,ASSOCIATED_WITH,P00466
P00204,ASSOCIATED_WITH,P00815
P00042,ASSOCIATED_WITH,P00736
P00288,ASSOCIATED_WITH,P00091
P00390,ASSOCIATED_WITH,P00645
P00389,ASSOCIATED_WITH,P00982
P00266,ASSOCIATED_WITH,P00377
P00305,ASSOCIATED_WITH,P00212
P00079,ASSOCIATED_WITH,P00176
P00095,ASSOCIATED_WITH,P00684
P00323,ASSOCIATED_WITH,P00578
P00057,ASSOCIATED_WITH,P00767
P00117,ASSOCIATED_WITH,P00893
P00267,ASSOCIATED_WITH,P00419
P00194,ASSOCIATED_WITH,P00762
P00221,ASSOCIATED_WITH,P00031
P00167,ASSOCIATED_WITH,P00717
P00017,ASSOCIATED_WITH,P00173
P00062,ASSOCIATED_WITH,P00750
P00379,ASSOCIATED_WITH,P00220
P00343,ASSOCIATED_WITH,P00034
P00362,ASSOCIATED_WITH,P00583
P00138,ASSOCIATED_WITH,P00719
P00159,ASSOCIATED_WITH,P00465
P00358,ASSOCIATED_WITH,P00510
P00169,ASSOCIATED_WITH,P00702
P00217,ASSOCIATED_WITH,P00290
P00338,ASSOCIATED_WITH,P00500
P00306,ASSOCIATED_WITH,P00881
P00146,ASSOCIATED_WITH,P00983
P00137,ASSOCIATED_WITH,P00720
P00052,ASSOCIATED_WITH,P00710
P00295,ASSOCIATED_WITH,P00835
P00391,ASSOCIATED_WITH,P00206
P00186,ASSOCIATED_WITH,P00661
P00163,ASSOCIATED_WITH,P00346
P00156,ASSOCIATED_WITH,P00722
P00227,ASSOCIATED_WITH,P00096
P00280,ASSOCIATED_WITH,P00389
P00228,ASSOCIATED_WITH,P00655
P00014,ASSOCIATED_WITH,P00304
P00103,ASSOCIATED_WITH,P00243
P00347,ASSOCIATED_WITH,P00821
P00220,ASSOCIATED_WITH,P00605
P00373,ASSOCIATED_WITH,P00914
P00120,ASSOCIATED_WITH,P00575
P00170,ASSOCIATED_WITH,P00714
P00140,ASSOCIATED_WITH,P00215
P00329,ASSOCIATED_WITH,P00593
